,index,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT
0,1542,3760052155536,AUT_MQ,AUT_MQ | SCE_CLAS | CITRON_VERT_PIMENT_DOUX | AUT_EMB | NON_BIO,SCE_CLAS,CITRON_VERT_PIMENT_DOUX,NON_BIO,PF,100,AUT_EMB,1CT,STD,35.1,1563.3000000000006,3760052155536,AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CITRON_VERT_PIMENT_DOUX_1CT_100G_*_NON_BIO,1542,AUT_SCE,1
1,1543,8854404005213,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_JAUNE_THAI | AUT_EMB | NON_BIO,SCE_CLAS,CURRY_JAUNE_THAI,NON_BIO,PF,300,AUT_EMB,1CT,STD,14902.2,11908.000000000002,8854404005213,AUT_SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CURRY_JAUNE_THAI_1CT_300G_*_NON_BIO,1543,AUT_SCE,1
2,1544,8858135071028,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_VERT_&_LEGUMES | AUT_EMB | NON_BIO,SCE_CLAS,CURRY_VERT_&_LEGUMES,NON_BIO,PF,300,AUT_EMB,1CT,STD,7141.299999999997,0.0,8858135071028,SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CURRY_VERT_&_LEGUMES_1CT_300G_*_NON_BIO,1544,AUT_SCE,1
3,1545,3760052155512,AUT_MQ,AUT_MQ | SCE_CLAS | YUZU | AUT_EMB | NON_BIO,SCE_CLAS,YUZU,NON_BIO,PF,100,AUT_EMB,1CT,STD,0.0,1010.2,3760052155512,AUT_SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_YUZU_1CT_100G_*_NON_BIO,1545,AUT_SCE,1
4,1547,0,MDD,MDD | AUT_SCE |  | BRIC | ,,,separator,,0,BRIC,,,139057.00000000006,0.0,,AUT_SCE_BRIC_MDD,1547,AUT_SCE,1
5,1550,3416952625159,AUT_MQ,AUT_MQ | SCE_CLAS | CEPES_&_AU_JUS_DE_TRUFFES_NOIR | BTE_FER | NON_BIO,SCE_CLAS,CEPES_&_AU_JUS_DE_TRUFFES_NOIR,NON_BIO,PF,200,BTE_FER,1CT,STD,8020.099999999998,6524.6,3416952625159,FER_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CEPES_&_AU_JUS_DE_TRUFFES_NOIR_1CT_200G_*_NON_BIO,1550,AUT_SCE,1
6,1551,3416360008261,AUT_MQ,AUT_MQ | SCE_CLAS | PERIGUEUX_TRUFFEE_A_1% | BTE_FER | NON_BIO,SCE_CLAS,PERIGUEUX_TRUFFEE_A_1%,NON_BIO,PF,200,BTE_FER,1CT,STD,8660.8,8682.399999999998,3416360008261,SCE_BTE_FER_AUT_FAB_AUT_MQ_SCE_CLAS_PF_PERIGUEUX_TRUFFEE_A_1%_1CT_200G_*_NON_BIO,1551,AUT_SCE,1
7,1554,3302762103218,AUT_MQ,AUT_MQ | SCE_CLAS | BEURRE_BLANC_&_CITRON_CONFIT | DOSE | NON_BIO,SCE_CLAS,BEURRE_BLANC_&_CITRON_CONFIT,NON_BIO,FI,50,DOSE,3CT,STD,52713.1,34313.7,3302762103218,DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_BEURRE_BLANC_&_CITRON_CONFIT_3CT_50G_*_NON_BIO,1554,AUT_SCE,1
8,1555,3302762203246,AUT_MQ,AUT_MQ | SCE_CLAS | CEPE | DOSE | NON_BIO,SCE_CLAS,CEPE,NON_BIO,FI,50,DOSE,3CT,STD,26907.0,0.0,3302762203246,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_CEPE_3CT_50G_*_NON_BIO,1555,AUT_SCE,1
9,1556,3302762203208,AUT_MQ,AUT_MQ | SCE_CLAS | CREME_AUX_POIREAUX | DOSE | NON_BIO,SCE_CLAS,CREME_AUX_POIREAUX,NON_BIO,FI,50,DOSE,3CT,STD,12438.2,6684.0999999999985,3302762203208,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_CREME_AUX_POIREAUX_3CT_50G_*_NON_BIO,1556,AUT_SCE,1
10,1557,3302762103133,AUT_MQ,AUT_MQ | SCE_CLAS | LEGUMES_DU_SOLEIL | DOSE | NON_BIO,SCE_CLAS,LEGUMES_DU_SOLEIL,NON_BIO,FI,50,DOSE,3CT,STD,2966.200000000001,3327.8,3302762103133,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_LEGUMES_DU_SOLEIL_3CT_50G_*_NON_BIO,1557,AUT_SCE,1
